SEX,AGER,EDUR,DEM02A,DEM02B,DEM02C,DEM02D,DEM02E,DEM02F,DEM02G,vahy,vlna
1,1,3,3,1,1,2,1,2,1,3.00278655832762,26
2,1,3,2,1,4,3,2,2,1,2.82978739413048,26
2,1,3,3,3,1,3,1,3,2,2.59187038368919,26
2,1,4,4,4,2,3,4,4,1,1.41745653466124,26
2,1,3,3,2,2,2,2,2,3,1.15380131754203,26
2,1,3,4,3,5,1,2,2,3,3.00278655832762,26
1,1,3,4,2,1,3,1,3,4,.845526622067104,26
1,1,4,3,2,2,4,2,1,3,.614269235611148,26
1,1,3,3,2,3,3,3,3,2,2.69776441421146,26
1,1,3,1,5,1,1,2,1,1,2.11672574626038,26
2,1,2,3,3,3,4,3,3,3,.60316832649799,26
2,1,3,3,3,2,3,2,2,2,1.89536373112634,26
1,1,1,4,4,2,2,2,2,2,2.90777333219425,26
1,1,3,2,2,2,2,3,2,2,.541696368823538,26
2,1,2,3,3,1,3,2,3,3,3.00278655832762,26
1,1,3,3,3,2,3,2,3,3,.556186671327083,26
2,1,3,3,2,2,2,1,1,1,.338375291748424,26
2,1,4,2,2,2,3,2,1,2,.554766664976369,26
2,1,3,2,3,5,3,5,2,2,.395312349538817,26
1,1,3,3,2,2,4,4,2,2,2.84412320985398,26
1,1,4,2,2,3,4,3,1,2,.564059484006934,26
2,1,3,3,2,1,4,3,2,2,2.64175106395839,26
1,1,2,4,4,1,2,1,4,3,1.71371863953898,26
1,1,3,2,2,4,4,3,1,1,.703456622153588,26
1,1,1,2,4,1,2,2,2,2,3.00278655832762,26
2,1,3,3,2,2,2,2,2,2,1.68969014554459,26
1,1,1,5,4,3,3,3,2,1,2.90777333219425,26
2,1,4,2,3,2,3,2,1,3,.718727840533265,26
2,1,3,3,3,2,4,2,2,2,2.82978739413048,26
2,1,3,2,2,3,3,4,2,2,.682638779841237,26
1,1,3,4,4,1,1,1,4,2,.52399033249752,26
1,1,3,3,2,3,3,3,1,2,2.51016387491535,26
2,1,3,3,3,2,5,2,2,4,.938679175473945,26
2,1,3,4,4,1,4,1,4,1,.419207678453129,26
2,1,3,3,2,3,3,2,1,2,.64487292942514,26
2,1,3,4,3,5,2,2,1,4,.508434146745596,26
1,1,4,3,1,1,4,1,1,3,1.09606586188419,26
2,1,3,3,3,2,2,1,2,3,.475287841546912,26
2,1,3,2,1,2,4,1,1,1,2.64175106395839,26
1,1,3,4,4,1,2,5,4,4,2.41120506859,26
1,1,3,4,3,2,4,4,2,4,.841015827574129,26
1,1,4,3,2,3,4,4,1,1,.430739355066643,26
1,1,3,2,3,3,3,3,2,1,1.35144225614624,26
2,1,3,2,2,5,3,3,2,2,2.41305912258053,26
2,1,3,2,1,2,3,4,1,2,.987976139157011,26
1,1,4,3,2,2,3,2,2,2,.591935562268382,26
2,1,3,3,3,1,1,2,3,3,1.2052300648307,26
2,1,3,1,3,2,4,3,2,1,1.7422873855531,26
2,1,3,4,4,1,1,2,4,3,2.64175106395839,26
2,1,3,2,2,4,4,3,1,2,1.05010217837459,26
2,1,1,2,1,2,2,2,2,1,2.89311668774523,26
2,1,3,3,3,2,3,2,2,3,.53542190195755,26
2,1,3,4,4,1,1,1,4,3,1.61435739724371,26
2,1,3,4,3,1,2,3,3,3,.920705418849666,26
2,1,2,3,4,2,5,2,3,1,2.21731033478018,26
2,1,3,2,4,1,4,3,2,3,.691867250339311,26
2,1,3,4,4,3,4,5,4,5,.301474557397609,26
1,1,1,4,4,1,1,1,3,4,2.90777333219425,26
2,1,4,4,4,1,3,1,2,3,2.8278056726329,26
1,1,1,2,2,5,4,4,1,3,2.90777333219425,26
2,1,3,4,5,1,2,5,4,2,2.64175106395839,26
1,1,3,2,2,3,3,2,1,2,.900889332401894,26
2,1,3,3,3,2,5,2,2,4,.301474557397609,26
2,1,3,2,2,2,2,2,2,2,.980737799881707,26
1,1,1,2,3,3,3,4,1,1,2.90777333219425,26
1,1,2,3,3,2,3,3,3,3,1.67227535752842,26
2,1,1,3,3,2,5,5,5,2,2.89311668774523,26
1,1,3,2,2,2,4,2,1,1,1.93033896879106,26
2,1,3,2,2,2,3,1,2,2,1.45964102706301,26
2,1,3,3,3,3,2,2,2,3,1.32276488457306,26
2,1,3,2,2,2,2,3,1,2,.571276906801205,26
1,1,1,3,2,1,4,1,2,2,2.90777333219425,26
1,1,4,3,2,2,3,2,2,5,1.16498881257263,26
2,1,1,4,3,2,3,1,2,3,2.89311668774523,26
2,1,3,3,3,2,4,2,5,5,.838895758869742,26
1,1,1,3,2,5,3,3,2,2,2.90777333219425,26
1,1,2,4,4,1,2,2,4,3,2.23256335502007,26
2,1,3,3,3,2,2,2,3,3,1.55801979392935,26
2,1,3,4,2,2,4,1,2,2,.766003466997976,26
2,1,1,4,4,3,5,3,4,5,1.83830156503207,26
2,1,3,2,3,2,3,2,2,3,1.68969014554459,26
1,1,3,5,2,3,1,3,2,3,.652639229788111,26
2,1,2,5,5,5,5,5,5,5,.887297214906266,26
1,1,3,3,2,2,3,1,2,4,1.03023097805321,26
2,1,3,3,3,3,1,3,2,3,.47875848829956,26
1,1,1,3,5,2,3,2,2,5,2.90777333219425,26
1,1,1,3,3,2,3,4,2,1,2.90777333219425,26
1,1,1,2,2,2,3,4,1,2,2.90777333219425,26
2,1,3,4,1,1,2,2,3,2,2.82978739413048,26
1,1,1,2,2,3,4,2,4,1,2.90777333219425,26
2,1,1,5,3,1,2,1,3,3,2.89311668774523,26
1,1,3,2,1,3,4,4,1,2,2.84412320985398,26
1,1,1,5,2,2,4,3,2,2,2.90777333219425,26
2,1,1,2,5,2,2,5,2,3,2.89311668774523,26
1,1,1,2,2,3,3,3,1,2,2.90777333219425,26
1,1,3,3,4,2,3,4,1,3,1.29506007286601,26
1,1,1,5,3,2,3,2,1,2,2.90777333219425,26
1,1,3,2,2,3,3,2,2,2,.303001839521044,26
2,1,1,3,3,3,3,4,1,2,2.89311668774523,26
2,1,3,5,3,5,4,2,1,5,2.82978739413048,26
2,1,1,3,2,5,1,2,2,2,2.89311668774523,26
2,1,1,3,5,5,2,3,4,5,2.89311668774523,26
2,1,1,5,5,3,3,3,5,5,2.89311668774523,26
2,1,1,3,5,5,2,2,2,2,2.89311668774523,26
1,1,1,1,1,3,4,3,1,1,2.90777333219425,26
2,1,1,3,2,2,3,2,5,2,2.89311668774523,26
2,1,1,4,3,1,1,1,3,2,2.89311668774523,26
2,1,3,3,2,2,1,2,3,2,2.82598528871769,26
2,1,1,3,2,5,3,3,2,1,2.89311668774523,26
